,Start year,End year,Initial PV size,Initial storage size,Final PV size,Final storage size,Diesel capacity,LCUE ($/kWh),Blackouts,Unmet energy fraction,Renewables fraction,Total energy (kWh),Unmet energy (kWh),Renewable energy (kWh),Storage energy (kWh),Grid energy (kWh),Diesel energy (kWh),Discounted energy (kWh),Kerosene displacement,Diesel fuel usage (l),Total cost ($),Total system cost ($),New equipment cost ($),New connection cost ($),O&M cost ($),Diesel cost ($),Grid cost ($),Kerosene cost ($),Kerosene cost mitigated ($)
0,0.0,6.0,19.0,72.0,17.86,62.589994892871346,0.0,0.732,0.05,0.024,1.0,98758.02,2326.861,51707.994,47050.026,0.0,0.0,71717.932,,0.0,52509.76,52509.76,44000.0,2500.0,6009.76,0.0,0.0,0.0,0.0
0,6.0,12.0,49.0,169.0,46.059999999999995,145.6449187735252,0.0,0.497,0.05,0.018,1.0,258837.593,4666.845,142062.187,116775.406,0.0,0.0,107143.281,,0.0,36342.55,36342.55,27297.39,2763.49,6281.66,0.0,0.0,0.0,0.0
