,Parameter value,Start year,End year,Step length,Optimisation length,Maximum PV size,Maximum storage size,Maximum diesel capacity,LCUE ($/kWh),Blackouts,Unmet energy fraction,Renewables fraction,Total energy (kWh),Unmet energy (kWh),Renewable energy (kWh),Storage energy (kWh),Grid energy (kWh),Diesel energy (kWh),Discounted energy (kWh),Total cost ($),Total system cost ($),New equipment cost ($),New connection cost ($),O&M cost ($),Diesel cost ($),Grid cost ($),Kerosene cost ($),Kerosene cost mitigated ($),Kerosene displacement,Diesel fuel usage (l)
0,1,0,12,1,12,52.0,178.0,0.0,0.212,0.048999999999999995,0.016,0.536,358842.918,5901.243,192171.962,166670.956,0.0,0.0,178989.034,74720.28000000001,74720.28000000001,60747.4,3975.5399999999995,9997.339999999998,0.0,0.0,0.0,0.0,,0.0
1,2,0,12,2,12,52.0,174.0,0.0,0.25,0.048999999999999995,0.017,0.537,358730.84,5986.9980000000005,192541.93899999998,166188.90099999998,0.0,0.0,179010.762,76385.94,76385.94,61856.759999999995,4193.13,10336.04,0.0,0.0,0.0,0.0,,0.0
2,4,0,12,4,12,48.0,175.0,0.0,0.321,0.05000000000000001,0.018,0.538,358200.658,6472.156000000001,192870.258,165330.40000000002,0.0,0.0,178932.265,81413.14,81413.14,65443.56,4710.42,11259.16,0.0,0.0,0.0,0.0,,0.0
3,6,0,12,6,12,49.0,169.0,0.0,0.497,0.05,0.02,0.542,357595.613,6993.706,193770.181,163825.432,0.0,0.0,178861.213,88852.31,88852.31,71297.39,5263.49,12291.42,0.0,0.0,0.0,0.0,,0.0
