,Start year,End year,Initial PV size,Initial storage size,Final PV size,Final storage size,Diesel capacity,LCUE ($/kWh),Blackouts,Unmet energy fraction,Renewables fraction,Total energy (kWh),Unmet energy (kWh),Renewable energy (kWh),Storage energy (kWh),Grid energy (kWh),Diesel energy (kWh),Discounted energy (kWh),Kerosene displacement,Diesel fuel usage (l),Total cost ($),Total system cost ($),New equipment cost ($),New connection cost ($),O&M cost ($),Diesel cost ($),Grid cost ($),Kerosene cost ($),Kerosene cost mitigated ($)
0,0.0,4.0,14.0,54.0,13.44,48.76741290079827,0.0,0.871,0.05,0.021,1.0,53666.627,1146.639,27503.691,26162.935,0.0,0.0,43626.972,,0.0,37992.17,37992.17,32800.0,1500.0,3692.17,0.0,0.0,0.0,0.0
0,4.0,8.0,28.0,99.0,26.88,88.9811383974141,0.0,0.583,0.05,0.019,1.0,108112.87,2073.349,58018.562,50094.308,0.0,0.0,60364.297,,0.0,22623.43,22623.43,17345.61,1574.64,3703.18,0.0,0.0,0.0,0.0
0,8.0,12.0,48.0,175.0,46.08,157.18536863719729,0.0,0.321,0.05,0.017,1.0,196421.161,3252.168,107348.005,89073.157,0.0,0.0,74940.996,,0.0,20797.54,20797.54,15297.95,1635.78,3863.81,0.0,0.0,0.0,0.0
