,Start year,End year,Initial PV size,Initial storage size,Final PV size,Final storage size,Diesel capacity,LCUE ($/kWh),Blackouts,Unmet energy fraction,Renewables fraction,Total energy (kWh),Unmet energy (kWh),Renewable energy (kWh),Storage energy (kWh),Grid energy (kWh),Diesel energy (kWh),Discounted energy (kWh),Kerosene displacement,Diesel fuel usage (l),Total cost ($),Total system cost ($),New equipment cost ($),New connection cost ($),O&M cost ($),Diesel cost ($),Grid cost ($),Kerosene cost ($),Kerosene cost mitigated ($)
0,0.0,2.0,11.0,38.0,10.78,35.828058201720076,0.0,1.336,0.05,0.017,1.0,21722.812,361.943,10863.103,10859.709,0.0,0.0,19680.454,,0.0,26302.8,26302.8,24000.0,600.0,1702.8,0.0,0.0,0.0,0.0
0,2.0,4.0,15.0,57.0,14.7,53.875800127898714,0.0,0.856,0.047,0.016,1.0,32222.779,523.022,16601.779,15620.999,0.0,0.0,24093.482,,0.0,11184.08,11184.08,8731.74,729.0,1723.34,0.0,0.0,0.0,0.0
0,4.0,6.0,21.0,76.0,20.58,71.69581582001442,0.0,0.404,0.047,0.018,1.0,45510.482,796.442,23989.561,21520.921,0.0,0.0,28214.145,,0.0,9942.46,9942.46,7588.45,656.1,1697.9,0.0,0.0,0.0,0.0
0,6.0,8.0,30.0,101.0,29.4,95.21382116061147,0.0,0.335,0.05,0.018,1.0,62752.973,1144.429,33822.079,28930.894,0.0,0.0,32143.454,,0.0,10257.22,10257.22,7806.72,744.02,1706.49,0.0,0.0,0.0,0.0
0,8.0,10.0,40.0,136.0,39.2,128.34219954746825,0.0,0.298,0.05,0.02,1.0,83983.49,1655.79,45694.488,38289.002,0.0,0.0,35531.049,,0.0,9887.32,9887.32,7405.37,731.79,1750.16,0.0,0.0,0.0,0.0
0,10.0,12.0,52.0,174.0,50.96,163.80652489364385,0.0,0.25,0.05,0.013,1.0,112538.304,1505.372,61570.929,50967.376,0.0,0.0,39348.178,,0.0,8812.06,8812.06,6324.48,732.22,1755.35,0.0,0.0,0.0,0.0
