,0
7,5
8,2
9,17
10,11
11,11
12,10
13,8
14,7
15,21
16,19
17,8
18,12
19,15
20,19
21,9
22,5
23,4
0,0
1,0
2,0
3,0
4,0
5,0
6,2
7,2
8,12
9,6
10,15
11,13
12,14
13,14
14,15
15,13
16,19
17,22
18,14
19,13
20,11
21,16
22,7
23,4
0,2
1,3
2,0
3,0
4,0
5,0
6,0
7,1
8,9
9,11
10,11
11,19
12,14
13,9
14,10
15,16
16,9
17,14
18,9
19,8
20,16
21,16
22,10
23,2
0,0
1,0
2,0
3,0
4,0
5,0
6,1
7,6
8,8
9,9
10,13
11,17
12,13
13,15
14,12
15,8
16,17
17,11
18,20
19,9
20,16
21,11
22,5
23,1
0,3
1,0
2,0
3,0
4,0
5,0
6,0
7,4
8,5
9,12
10,12
11,12
12,12
13,13
14,16
15,10
16,13
17,16
18,13
19,14
20,15
21,14
22,7
23,2
0,1
1,0
2,0
3,0
4,0
5,0
6,1
7,4
8,9
9,11
10,13
11,10
12,7
13,8
14,24
15,26
16,11
17,12
18,15
19,14
20,12
21,9
22,5
23,5
0,1
1,1
2,0
3,0
4,0
5,0
6,0
7,5
8,8
9,6
10,12
11,7
12,15
13,13
14,14
15,11
16,10
17,13
18,16
19,12
20,13
21,10
22,4
23,2
0,3
1,1
2,0
3,0
4,0
5,0
6,3
7,7
8,12
9,13
10,12
11,16
12,14
13,15
14,12
15,18
16,15
17,7
18,16
19,9
20,18
21,11
22,10
23,5
0,1
1,0
2,0
3,0
4,0
5,0
6,1
7,6
8,6
9,14
10,10
11,12
12,7
13,13
14,11
15,16
16,8
17,11
18,16
19,8
20,18
21,7
22,12
23,5
0,1
1,1
2,0
3,0
4,0
5,0
6,1
7,3
8,5
9,10
10,21
11,14
12,12
13,10
14,17
15,11
16,18
17,14
18,19
19,10
20,20
21,13
22,14
23,4
0,2
1,0
2,0
3,0
4,0
5,0
6,1
7,4
8,11
9,14
10,15
11,10
12,11
13,12
14,9
15,12
16,16
17,13
18,7
19,16
20,14
21,12
22,8
23,6
0,1
1,1
2,0
3,0
4,0
5,0
6,2
7,1
8,7
9,12
10,13
11,11
12,9
13,9
14,18
15,17
16,16
17,7
18,17
19,15
20,10
21,9
22,11
23,6
0,1
1,0
2,0
3,0
4,0
5,0
6,1
7,1
8,10
9,13
10,10
11,11
12,8
13,14
14,5
15,16
16,9
17,9
18,18
19,11
20,9
21,16
22,13
23,3
0,1
1,0
2,0
3,0
4,0
5,0
6,0
7,2
8,7
9,13
10,16
11,10
12,16
13,11
14,14
15,10
16,21
17,14
18,25
19,15
20,10
21,14
22,9
23,4
0,2
1,2
2,0
3,0
4,0
5,1
6,1
7,6
8,6
9,8
10,11
11,6
12,19
13,5
14,12
15,5
16,10
17,17
18,17
19,16
20,18
21,6
22,12
23,5
