,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,34
18,296
19,335
20,333
21,278
22,148
23,88
0,78
1,97
2,67
3,68
4,90
5,83
6,66
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,24
18,281
19,336
20,337
21,286
22,151
23,99
0,85
1,95
2,87
3,95
4,77
5,76
6,48
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,28
18,282
19,337
20,337
21,280
22,148
23,113
0,71
1,101
2,100
3,78
4,72
5,82
6,51
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,23
18,284
19,339
20,335
21,275
22,142
23,107
0,74
1,77
2,77
3,82
4,70
5,84
6,40
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,23
18,262
19,337
20,336
21,279
22,159
23,103
0,82
1,96
2,85
3,81
4,87
5,76
6,58
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,16
18,266
19,333
20,336
21,277
22,141
23,98
0,84
1,80
2,80
3,87
4,66
5,78
6,70
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,19
18,255
19,337
20,337
21,280
22,148
23,98
0,79
1,74
2,75
3,84
4,72
5,75
6,57
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,17
18,268
19,337
20,335
21,289
22,156
23,101
0,78
1,69
2,81
3,81
4,82
5,80
6,61
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,15
18,249
19,336
20,338
21,288
22,140
23,95
0,81
1,79
2,77
3,81
4,81
5,79
6,56
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,18
18,279
19,330
20,334
21,283
22,154
23,103
0,81
1,81
2,83
3,91
4,76
5,77
6,52
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,11
18,265
19,338
20,338
21,283
22,143
23,98
0,76
1,86
2,78
3,77
4,92
5,76
6,62
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,5
18,265
19,339
20,333
21,269
22,138
23,110
0,89
1,69
2,71
3,73
4,83
5,89
6,51
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,11
18,259
19,338
20,333
21,288
22,144
23,98
0,78
1,79
2,78
3,75
4,73
5,81
6,42
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,10
18,253
19,336
20,337
21,281
22,161
23,99
0,94
1,83
2,87
3,90
4,77
5,81
6,51
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,5
