,Domestic,Commercial,Public
219,366.0,0.0,0.0
220,383.0,0.0,0.0
221,384.0,200.0,0.0
222,480.0,0.0,0.0
223,50.0,350.0,0.0
224,90.0,1250.0,0.0
225,105.0,2200.0,0.0
226,145.0,1650.0,0.0
227,135.0,1650.0,0.0
228,120.0,350.0,0.0
229,110.0,1500.0,0.0
230,150.0,1850.0,0.0
231,150.0,900.0,0.0
232,135.0,1650.0,0.0
233,561.0,2200.0,0.0
234,1391.0,1350.0,500.0
235,1319.0,550.0,500.0
236,1189.0,200.0,500.0
237,1182.0,0.0,500.0
238,851.0,350.0,500.0
239,709.0,0.0,500.0
240,418.0,0.0,500.0
241,371.0,0.0,500.0
242,364.0,0.0,500.0
243,443.0,0.0,0.0
244,373.0,0.0,0.0
245,388.0,0.0,0.0
246,511.0,0.0,0.0
247,105.0,0.0,0.0
248,110.0,1250.0,0.0
249,110.0,1650.0,0.0
250,155.0,1100.0,0.0
251,160.0,1700.0,0.0
252,195.0,400.0,0.0
253,80.0,1500.0,0.0
254,145.0,2000.0,0.0
255,140.0,1650.0,0.0
256,125.0,1850.0,0.0
257,541.0,1650.0,0.0
258,1250.0,350.0,500.0
259,1277.0,200.0,500.0
260,1215.0,1100.0,500.0
261,1059.0,0.0,500.0
262,791.0,200.0,500.0
263,703.0,0.0,500.0
264,354.0,0.0,500.0
265,412.0,0.0,500.0
266,330.0,0.0,500.0
267,407.0,0.0,0.0
268,363.0,350.0,0.0
269,416.0,0.0,0.0
270,450.0,0.0,0.0
271,90.0,350.0,0.0
272,90.0,1100.0,0.0
273,120.0,350.0,0.0
274,135.0,1650.0,0.0
275,65.0,1300.0,0.0
276,180.0,1100.0,0.0
277,145.0,950.0,0.0
278,105.0,1350.0,0.0
279,110.0,1450.0,0.0
280,140.0,1300.0,0.0
281,500.0,2050.0,0.0
282,1336.0,1500.0,500.0
283,1314.0,0.0,500.0
284,1317.0,950.0,500.0
285,1158.0,0.0,500.0
286,760.0,0.0,500.0
287,632.0,750.0,500.0
288,391.0,0.0,500.0
289,396.0,0.0,500.0
290,388.0,0.0,500.0
291,381.0,0.0,0.0
292,437.0,0.0,0.0
293,364.0,0.0,0.0
294,514.0,0.0,0.0
295,50.0,0.0,0.0
296,90.0,1800.0,0.0
297,135.0,200.0,0.0
298,145.0,2150.0,0.0
299,155.0,900.0,0.0
300,100.0,750.0,0.0
301,130.0,1300.0,0.0
302,100.0,750.0,0.0
303,140.0,1300.0,0.0
304,160.0,1150.0,0.0
305,588.0,900.0,0.0
306,1331.0,950.0,500.0
307,1250.0,400.0,500.0
308,1151.0,0.0,500.0
309,1052.0,400.0,500.0
310,908.0,0.0,500.0
311,740.0,0.0,500.0
312,361.0,0.0,500.0
313,449.0,0.0,500.0
314,370.0,0.0,500.0
315,393.0,0.0,0.0
316,341.0,0.0,0.0
317,417.0,0.0,0.0
318,451.0,0.0,0.0
319,105.0,750.0,0.0
320,115.0,1100.0,0.0
321,100.0,350.0,0.0
322,135.0,1050.0,0.0
323,130.0,2200.0,0.0
324,125.0,1500.0,0.0
325,185.0,900.0,0.0
326,100.0,900.0,0.0
327,105.0,1650.0,0.0
328,110.0,400.0,0.0
329,496.0,1450.0,0.0
330,1269.0,1150.0,500.0
331,1188.0,950.0,500.0
332,1263.0,750.0,500.0
333,1020.0,350.0,500.0
334,800.0,0.0,500.0
335,679.0,0.0,500.0
336,309.0,0.0,500.0
337,421.0,0.0,500.0
338,372.0,0.0,500.0
339,403.0,0.0,0.0
340,372.0,0.0,0.0
341,368.0,0.0,0.0
342,502.0,0.0,0.0
343,90.0,1100.0,0.0
344,85.0,0.0,0.0
345,95.0,1100.0,0.0
346,90.0,1800.0,0.0
347,130.0,1500.0,0.0
348,100.0,1450.0,0.0
349,100.0,0.0,0.0
350,130.0,2000.0,0.0
351,115.0,1300.0,0.0
352,115.0,1950.0,0.0
353,497.0,1850.0,0.0
354,1331.0,200.0,500.0
355,1304.0,600.0,500.0
356,1296.0,750.0,500.0
357,1091.0,0.0,500.0
358,881.0,0.0,500.0
359,694.0,0.0,500.0
360,452.0,350.0,500.0
361,367.0,0.0,500.0
362,402.0,0.0,500.0
363,392.0,0.0,0.0
364,368.0,0.0,0.0
365,350.0,350.0,0.0
366,467.0,0.0,0.0
367,90.0,1100.0,0.0
368,95.0,200.0,0.0
369,145.0,350.0,0.0
370,95.0,2400.0,0.0
371,170.0,1500.0,0.0
372,160.0,750.0,0.0
373,125.0,1100.0,0.0
374,145.0,1100.0,0.0
375,155.0,1100.0,0.0
376,110.0,1850.0,0.0
