,Maximum,Mean,Median
0,3355.0,1059.0,980.0
1,3925.0,1277.0,1205.0
2,4510.0,1531.0,1570.0
3,5370.0,1937.0,1990.0
4,5920.0,2295.0,2520.0
5,7040.0,2611.0,2895.0
6,8190.0,3152.0,3540.0
7,9860.0,3622.0,4080.0
8,10130.0,4200.0,4880.0
9,11195.0,4882.0,5725.0
10,13650.0,5616.0,6640.0
11,15605.0,6477.0,7745.0
